City	100	101	10101	102	10201	103	104	105	106	10601	107	108	109	110	11001	111	112	113	114	115	116	117	11701	118	119	200	201	202	203	20301	20302	204	20401	205	206	20601	207	208	20801	209	20901	210	211	212	21201	213	214	215	216	217	21701	218	219	220	221	222	22201	223	22301	224	22401	225	300	30001	301	302	30201	30202	30203	30204	30205	30206	30207	30208	30209	302010	302011	302012	303	30301	304	305	306	307	308	309	310	311	312	313	314	315	316	317	318	319	320	321	400	401	402	403	40301	404	40401	405	406	40601	407	408	40801	409	40901	410	41001	411	41101	412	41201	413	41301	414	415	41501	416	41601	417	41701	418	41801	419	41901	420	42001	421	422	423	42301	424	42401	500	50001	501	50101	50102	502	503	504	505	50501	506	507	50701	508	509	510	511	512	513	514	515	51501	51502	516	517	518	519	520	600	601	602	60201	603	60301	60302	604	60401	60402	60403	60404	60405	60406	605	60501	606	60601	607	60701	60702	60703	60704	60705	60706	608	60801	60802	60803	60804	60805	60806	60807	60808	60809	608010	609	610	61001	61002	61003	611	61101	612	613	61301	61302	61303	61304	61305	61306	61307	61308	61309	613010	613011	613012	613013	613014	613015	613016	614	61401	61402	61403	61404	61405	61406	61407	61408	61409	614010	614011	614012	614013	614014	614015	614016	614017	614018	614019	614020	614021	614022	614023	614024	614025	614026	614027	614028	614029	614030	614031	614032	614033	614034	615	61501	61502	61503	61504	61505	61506	616	61601	61602	61603	61604	61605	61606	61607	61608	61609	616010	616011	616012	616013	616014	616015	616016	616017	616018	616019	616020	616021	616022	616023	616024	616025	616026	616027	616028	616029	616030	616031	616032	616033	616034	616035	616036	616037	616038	616039	616040	616041	616042	616043	616044	616045	616046	617	618	619	61901
Dzierzgoń		N Kryszbork		Christburg		Christburg	Christburg	Christburg	Cristburg		Christburg		Christburg	Cristburg		Christburg	Cristburg	Christburg		Christburg	Christburg			Christburg		Christburg	Christburg	Chrisburg	Christburg					Christburg	Kryszborg					Christburg		Christburg	Christburg	Christburg		Christburg	Christburg	Christburg	Christburg	Christburg		Christburg		Christburg	Christburg	Dzierzgoń	Christburg	Christburg		Christburg	Kisczpork	Christburg			Christburg	Dzierzgoń	Kiszpork	Christburg	Sirgune										Christburg		Christburg	Christburg	Christburg	Christburg	Dzierzgoń	Christburg	Christburg	Christburg	Christburg		Christburg	Christburg	Christburg	Christburg	Dzierzgoń	Christburg	Christburg	Christburg	Dzierzgoń		Dzierzgoń	Christburg		Dzierzgoń		Dzierzgoń			Dzierzgoń			Christburg	Dzierzgoń	Christburg		Christburg		Christburg	Dzierzgoń	Christburg		Dzierzgoń	Christburg		Christburg	Dzierzgon	Christburg		Christburg				Christburg		Christburg	Christburg	Christburg		Dzierzgoń	Christburg	Dzierzgoń		Christburg			Dzierzgoń	Dzierzgoń	Dzierzgoń	Dzierzgoń	Christburg	Dzierzgoń	Christburg		Dzierzgoń	Dzierzgoń	Dzierzgoń	Dzierzgoń	Dzierzgoń	Dzierzgoń	Dzierzgoń	Christburg	Dzierzgón		Dzierzgoń	Dzierzgoń	Dzierzgoń	Dzierzgoń		Dzierzgoń	Dzierzgoń	Dzierzgoń		Dzierzgoń	Kiszpork											Dzierzgoń		Dzierzgoń	Christburg						Christburg	Dzierzgoń										Dzierzgoń	Dzierzgoń	Christburg	Grewose		Dzierzgoń		Dzierzgoń	Christburg	Dzierzgoń 	Kirsberg	Kirsburg	Cristisburg	Crisburch	Cristburg	Crisburg	Krystburg	Kirseburg	Christpurg	Dzirgon	Dzierzgen	Krischburg	Dzierzgon	Kirzporki	Kiszpork	Dzierzgoń 	Christburg	Dzërzgóń	Dzežgoņa	Дзежгонь	Дзежґонь	Ђежгоњ	傑日貢																												Dzierzgoń 	Kiszporg	Kiszpork	Christburg				Dzërzgóń	Cziszpórg	Kisźpórk	Dzierzgoń	Christburg																																											Dzierzgoń	Dzierzgoń	Dzierzgoń	Christburg
Elbląg		Elbing	Elblag	Elbing		Elbing	Elbing	Elbing	Elbing		Elbing	Elbing	Elbing	Elbing		Elbing	Elbing	Elbing	Elbing	Elbing	Elbing	Elbing	Elblang	Elbing	Elbing	Elbing	Elbing	Elbing	Elbing			Elblag	Elbing	Elbing	Elbing		Elbing	Elbing		Elbing		Elbing	Elbing	Elbing		Elbing	Elbing	Elbing	Elbing	Elbing	Elblag	Elbing		Elbing	Elbing	Elbląg		Elbing		Elbing		Elbing	Elbląg	Elbing	Elbing	Elbląg	Olbiąg	Elbing	Melbing										Elbing		Elbing	Elbing	Elbing	Elbing	Elbląg	Elbing	Elbing	Elbing	Elbing	Elblag	Elbing	Elbing	Elbing	Elbing	Elbłąg	Elbing	Elbing	Elbing	Elbląg	Elbląg	Elbląg	Elbing		Elbląg		Elbląg			Elbląg	Elbląg	Elbing	Elbing	Elbląg	Elbing		Elbing		Elbing	Elbląg	Elbing		Elbląg	Elbing		Elbing		Elbing		Elbing		Elbing	Elbląg	Elbing		Elbing	Elbing	Elbing		Elbląg		Elbląg		Elbing	Elbląg		Elbląg	Elbląg	Elbląg	Elbląg	Elbing	Elbląg	Elbing		Elbląg	Elbląg	Elbląg	Elbląg	Elbląg	Elbląg	Elbląg	Elbing	Elbląg		Elbląg	Elbląg	Elbląg	Elbląg		Elbląg	Elbląg	Elbląg		Elbląg										Elbląg		Elbląg		Elbląg	Elbing	Эльблонг					Elbląg	Elbing										Elbląg	Elbląg	Elbing			Elbląg		Elbląg	Elbing	Elbląg	Olbiąg 															Elbląg	엘블롱크	エルブロンク	เอลบลองก์	Elbing	Elbinga	Elbingas	Elblag	El’blëng	Elblong	Elblonga	Elwing	Ilfingburg	البلنغ	البلنگ	אלבלונג	Елблаг	Елбльонг	Ельблонг	Эльблёнг	Эльблонг	埃爾布隆格														Elbląg	Elbinga	Elbingus	Elbing	Elbings	Jelbiąg	Elbiąg	Jelbiąg	Elbiąg	Elbląg	Elbinga	Elbingus	Elbing	Elbings	Эльблонг																																								Elbląg	Elbląg	Elbląg	Elbing
Gardeja	Gardensee	Gardensee		Garnsee		Gardensee	Gardensee	Gardensee	Gardensee		Garnsee		Gardensee	Gardensee		Gardensee	Gardensee	Gardensee		Garnsee	Gardensee					Gardensee		Garnsee	Gardensee					Garnsee	Gardensee					Garnsee		Garnsee	Garnsee	Garnsee		Garnsee	Garnsee	Garnsee	Garnsee	Garnsee		Garnsee	Szlemno	Garnsee	Garnsee			Garnsee		Garnsee	Gardensee	Garnsee			Garnsee	Gardeja	Garnsee	Garzanum	Garzno	Ślemno	Szlemno								Garnsee		Garnsee	Garnsee	Garnsee	Garnsee	Gardeje	Garnsee	Garnsee	Garnsee	Garnsee		Garnsee	Garnsee	Garnsee	Garnsee	Gardeja	Garnsee	Garnsee	Garnsee	Gardeja		Gardeja	Garnsee		Gardeja		Gardeja			Gardeja	Gardeja		Garnsee	Gardeja	Garnsee		Gardeja		Garnsee	Gardeja	Garnsee		Gardeja	Garnsee		Garnsee	Gardeja	Garnsee		Gardeja		Gardeja		Garnsee		Garnsee	Garnsee	Garnsee		Gardeja		Gardeja		Garnsee			Gardeja	Gardeja	Gardeja			Gardeja	Garnsee		Gardeja	Gardeja	Gardeja					Garnsee	Gardeja		Gardeja	Gardeja	Gardeja	Gardeja		Gardeja	Gardeja	Gardeja		Gardeja												Gardeja		Gardeja	Garnsee						Gardeja	Garnsee										Gardeja	Gardeja	Garnsee			Gardeja		Gardeja	Garnsee	Gardeja	Gardzey 															Gardeja	Garnsee	Гардея																																	Gardeja	Garnsee																																																					Gardeja	Gardeja	Gardeja	Garnsee
Gdańsk	Dantzig	Dantzig		Danzig		Danzig	Dantzig	Dantzig	Dantzig		Danzig	Danzig	Danzig	Dantzig		Danzig	Dantzig	Dantzig	Danzig	Danzig	Danzig	Dantzick		Danzig	Danzig	Danzig	Dantzic	Dantzig	Dantzic			Gdansk	Danzig	Danzig	Dantzick		Dantzig	Danzig		Danzig	Dantzick	Danzig	Danzig	Danzig		Danzig	Danzig	Danzig	Danzig	Danzig	Gdansk	Danzig	Gdańsk	Danzig	Danzig	Gdansk		Danzig	Gdansk	Danzig		Danzig	Gdansk	Danzig	Danzig	Gdansk	Danzig	Gdancech	Gdancek	Gydanyza	Danzk	Dancek	Danzik	Gedanum	Dantiscum				Danzig	Gdansk	Danzig	Danzig	Danzig	Danzig	Gdansk	Danzig	Danzig	Danzig	Danzig	Gdańsk	Danzig	Danzig	Danzig	Danzig	Gdańsk	Danzig	Danzig	Danzig	Gdańsk	Gdańsk	Gdańsk	Danzig	Gdansk	Gdańsk		Gdańsk	Danzig	Gdańsk	Gdańsk	Danzig	Gdańsk	Gdańsk	Danzig	Danzig		Danzig		Gdańsk		Danzig		Gdańsk	Danzig		Danzig		Danzig		Danzig		Gdańsk	Danzig	Danzig		Danzig	Danzig	Danzig		Gdańsk		Gdańsk		Danzig	Gdańsk		Gdańsk	Gdańsk	Gdańsk	Gdańsk	Danzig	Gdańsk	Danzig		Gdańsk	Gdańsk	Gdańsk	Gdańsk	Gdańsk	Gdańsk	Gdańsk	Danzig	Gdańsk		Gdańsk	Gdańsk	Gdańsk	Gdańsk		Gdańsk	Gdańsk	Gdańsk		Gdańsk			Gdańsk	Gdóńsk	Gdóńskò	Gdańskò	Gdônsk	Gdôńsk	Stôré Miasto	Gdańsk		Gdańsk		Gdańsk	Danzig						Danzig	Freie Stadt Danzig	Dantzig	Gyddanzyc	Gdańsk	Urza̧d Miejski w Gdańsku	Ville Libre de Danzig	Freistaat Danzig	Ville Libre de Dantzig	Dantiscum	Gedanum	Gdańsk	Danzig	Gdańsk	Gduńsk		Danzig		Gdańsk	Danzig	Gdańsk																Gdańsk	그단스크	グダニスク	กดัญสก์	Danceke	Dancigo	Dantsic	Danzica	Dànzica	Danzig	Gdanjsk	Gdansk	Gdaňsk	Gdaņska	Gdanskas	Gduńsk	Gedanum	Gothiscandza	Gydanysg	Qdansk	غدانسك	گدانسک	גדנסק	דאנציג	Γκντανσκ	Гданск	Гданськ	Гданьск	Гдањск	Гъданьскъ	Գդանսկ	გდანსკი	गदान्स्क	கதான்ஸ்க்	格但斯克	Gdańsk	Gduńsk	Danzig	Gedanum	Dantiscum			Gduńsk	Gdôńskò	Gdąńsk	Gdańsk	Gedania	Dantiscum	Danzig																																									Gdańsk	Gdańsk	Gdańsk	Danzig
Gdynia		Dingen				Dingen		Dingen	Dingen		Gdingen		Gödingen	Dingen			Dingen	Gödingen		Gödingen		 				Gödingen	 	 	 															Gdingen									Gdingen		Gdingen			Gdingen		Gdingen						Gdynia	Gdingen														Gdingen	Gdingen	Gdingen	Gdingen		Gdingen		Gdingen	Gdingen				Gdingen	Gdingen		Gdingen	Gdingen	Gdingen	Gdynia			Gdingen		Gdynia		Gdynia	Gdynia		Gdynia	Gdynia		Gdynia				Gdingen		Gdynia		Gdingen		Gdynia	Gdingen		Gdingen		Gdynia		Gdingen	Gdynia	Gdynia		Gotenhafen		Gdingen	Gotenhafen	Gotenhaven		Gdynia		Gdynia		Gdingen	Gdynia	Gotenhafen	Gdynia	Gdynia	Gdynia	Gdynia		Gdynia	Gdingen		Gdynia	Gdynia	Gdynia	Gdynia	Gdynia	Gdynia	Gdynia	Gdingen	Gdynia	Gotenhafen	Gdynia	Gdynia	Gdynia	Gdynia		Gdynia	Gdynia	Gdynia		Gdynia			Gdynia	Gdyniô	Gdynnô	Gdyna				Gdynia		Gdynia		Gdynia	Gdingen	Gotenhafen					Gdynia	Gdingen	Gotenhafen									Gdynia	Gdynia	Gdiniô	Gdingen	Gotenhafen	Gdynia		Gdynia	Gdingen	Gdynia	Kedkino	Gdina	Gdigna	Gotenhafen												Gdynia	그디니아	グディニャ	Civitas Gdinensis	Gdiņa	Gdingen	Gdiniô	Gdyńa	Gdyňa	Gdyně	Gdynė	Gotenhafen	Gothenhafen	غدينيا	گدنیا	גדיניה	Γκντίνια	Гдиня	Гдиња	Гдыня	Գդինյա	გდინია	格丁尼亚													Gdynia	Gdiniô	Gdingen					Gdiniô	Gdinnô	Gdina	Gdinam	Gdinno	Gdynyno	Gedingen	Gdingen	Gdinino	Gdigna	Gdynina	Gdynge	Gdingen	Gdingen	Gdynia	Gdynia	Gdingen	Gdynia	Gdingen	Gdynia	Gdingen	Gdynia	Gdinjô	Gdiniô	Gdinnô	Gdina	Gdynia	Gdingen	Gotenhafen																			Gdynia	Gdynia	Gdynia	Gdingen
Gniew	Meve	Gniewie		Gniewie 	Meve	Mewe	Mewe	Mewe	Mewe		Mewe	 	Mewe	Mewe		Mewa	Mewe	Mewe	Meve	Mewe	Mewe			Mewe	Mewe	Mewe		Mewe	Mewe	Gniew		Gnrewo	Meve	Mewe	Gniewie		Mewe	Mewe		Mewe		Mewe	Mewe	Mewe		Mewe	Mewe	Mewe	Mewe	Mewe		Mewe	Gniew	Mewe	Mewe	Gniew		Mewe	Gniew	Mewe	Gniew	Mewe	Gniewie	Mewe	Mewe	Gniew	Mewe	Giniew	Gymew	Gmewa	Mewa										Mewe	Mewe	Mewe	Mewe	Gniew	Mewe	Mewe	Mewe	Mewe	Gniew	Mewe	Mewe	Mewe	Mewe	Gniew	Mewe	Mewe	Mewe	Gniew		Gniew	Mewe		Gniew		Gniew			Gniew	Gniew		Gniew				Meve		Gniew		Mewe		Gniew	Mewe		Gniew		Mewe		Mewe	Gniew	Gniew		Mewe		Mewe	Mewe	Mewe		Gniew		Gniew		Mewe	Gniew		Gniew	Gniew	Gniew	Gniew		Gniew	Mewe		Gniew	Gniew	Gniew	Gniew		Gniew	Gniew	Mewe	Gniew		Gniew	Gniew	Gniew	Gniew			Gniew	Gniew		Gniew												Gniew		Gniew	Mewe						Gniew											Gniew	Gniew	Mewe			Gniew		Gniew	Mewe	Gniew																Gniew	Gméw	Gņeva	Гнев	Гњев	格涅夫																														Gniew	Wońsk	Gmew	Mewe				Gméw	Gniéw	Gn´yef	Gn´eva	Gniew	Mewe																																										Gniew	Gniew	Gniew	Mewe
Golub-Dobrzyń	Golup	Golub		Golub		Gollun	Gollup	Golup	Golup		Gollub	Golup	Gollup	Golup		Gollup	Golup	Gollop	Gollup	Gollub	Gollup					Gollup		Gollup	Gollup					Gollup	Golub		Golup			Gollub		Gollno	Gollub	Gollub		Gollap	Gollup	Gollup	Gollub	Gollup		Gollub		Gollub	Gollub	Golab		Gollub		Gollub		Gollub	Golub		Gollub	Gollub	Golub												Gollub		Gollub	Gollub	Gollub	Gollub	Gołub	Gollub	Gollub	Gollub	Gollub	Golub	Gollub	Gollub	Gollub	Gollub	Golub	Gollub	Gollub	Gollub	Golub		Golub	Gollub		Golub		Gołub			Golub	Golub		Golub				Gollub		Golub		Gollub		Golub	Gollub		Golub		Gollub		Gollub	Gołub	Golub		Gollub		Gollub	Gollub	Gollub		Golub		Golub-Dobrzyń		Golub			Golub	Golub	Golub	Golub		Golub	Gollub		Golub	Golub	Golub-Dobrzyń	Golub-Dobrzyń	Golub-Dobrzyń	Golub-Dobrzyń	Golub-Dobrzyń	Gollub	Golau	Golub	Golub Dobrzyń	Golub-Dobrzyń	Golub-Dobrzyń	Golub-Dobrzyń		Golub-Dobrzyń	Golub-Dobrzyń	Golub-Dobrzyń		Golub-Dobrzyń										Golub-Dobrzyń		Golub-Dobrzyń		Golub-Dobrzyń	Gollub						Golub-Dobrzyń											Golub-Dobrzyń	Golub-Dobrzyń	Gollub			Golub-Dobrzyń		Golub-Dobrzyń	Gollub	Golub-Dobrzyń	Golube	Golaw	Golau	Golbe	Golub											Golub-Dobrzyń	Golub	Goluba-Dobžiņa	גולוב-דובזין	Голуб-Добжињ	Голюб-Добжин	Голюб-Добжинь	Ґолюб-Добжинь	戈盧布-多布任																											Golub-Dobrzyń	Golub	Gollub					Gòlëb-Dobrziń	Golub-Dobrzyń																																														Golub-Dobrzyń	Golub-Dobrzyń	Golub-Dobrzyń	Gollub-Dobrzyn
Grudziądz	Graudens	Grudziaz		Graudenz		Graudenz	Graudenz	Graudentz	Graudentz		Graudentz		Graudenz	Graudentz		Graudenz	Graudentz	Graudenz	Graudenz	Graudentz	Graudenz				Graudenz	Graudenz		Graudenz	Graudentz			Grudziaz	Graudenz	Graudenz	Grudziaz		Graudenz	Graudenz		Graudenz		Graudenz	Graudenz	Graudenz		Graudenz	Graudenz	Graudenz	Graudenz	Graudenz		Graudenz	Grudziądz	Graudenz	Graudenz	Grodek Grudziądz  	Graudenz	Graudenz		Graudenz		Graudenz	Grudziądz	Graudenz	Graudenz	Grudziądz	Graudenz												Graudenz		Graudenz	Graudenz	Graudenz	Graudenz	Grudziądz	Graudenz	Graudenz	Graudenz	Graudenz	Grudziaz	Graudenz	Graudenz	Graudenz	Graudenz	Grudziądz	Graudenz	Graudenz	Graudenz	Grudziądz	Grudziądz	Grudziądz	Graudenz		Grudziądz		Grudziądz	Grudziądz		Grudziądz	Grudziądz		Grudziądz				Graudenz		Grudziądz		Graudenz		Grudziądz	Graudenz		Grudziądz		Graudenz	Grudziądz	Graudenz	Grudziądz	Grudziądz		Graudenz		Graudenz	Graudenz	Graudenz		Grudziądz		Grudziądz		Graudenz	Grudziądz		Grudziądz	Grudziądz	Grudziądz	Grudziądz		Grudziądz	Graudenz		Grudziądz	Grudziądz	Grudziądz	Grudziądz	Grudziądz	Grudziądz	Grudziądz	Graudenz	Grudziądz		Grudziądz	Grudziądz	Grudziądz	Grudziądz		Grudziądz	Grudziądz	Grudziądz		Grudziądz										Grudziądz		Grudziądz		Grudziądz	Graudenz						Grudziądz	Graudenz										Grudziądz	Grudziądz	Graudenz			Grudziądz		Grudziądz	Graudenz	Grudziądz	Grudenc	Grudencz	Grawdencz	Grawdenz	Grawdentz	Grudenz	Grudentz	Graudentz								Grudziądz	그루지옹츠	グルジョンツ	กรูจอนตส์	Graudenz	Grëdządz	Grudzëndz	Grudziadz	Grudziądz	Grudziondzas	Grudzjondza	Grudźůndz	غروجونتس	گروجونتس	Груджьондз	Грудзендз	Грудзёндз	Грудзьондз	Груђондз	格魯瓊茲																Grudziądz	Graudentum	Graudentium	Graudenz				Grudziądz	Grëdządz	Grudenczch	Grudomsch	Grudonisk	Grudenz	Gruzenz	Cruzencz	Grodzancz	Grudencz	Chrudencz	Grawdecz	Graudencz	Grudencz	Grudenzc	Grudenz	Growdentcz	Graudencz	Graudnicz	Grudencz	Graudencz	Grudenz	Grudzencz	Grudecz	Grawdentcz	Grudentcz	Graudentz 	Grudzancz	Grudzancz	Grudzyandz	Grudziądz	Graudencz	Grudziądz	Graudencz	Grudziądz	Graudenz	Graudentz	Grudziądz	Grudzieniec	Grudenz 	Graudenz	Grédządz	Grudziądz	Graudenz	Grudziądz	Grudziądz	Graudenz	Grudziądz	Grudziądz	Grudziądz	Graudenz
Gwieździn		Fürstenau		Fürstenau							Foerstenau									Förstenau																								Förstenau									Förstenau		Förstenau			Förstenau								Fersztnowo	Förstenau												Förstenau		Förstenau	Förstenau	Förstenau	Förstenau	Forstenau	Förstenau	Förstenau	Förstenau	Förstenau		Förstenau		Förstenau	Förstenau		Förstenau	Förstenau				Fersztnowo	Förstenau							Ferstnowo									Förstenau		Förstenau			Ferstnowo		Förstenau										Forstenau	Forstenau	Förstenau											Gwieździn				Förstenau														Gwieździn	Gwieździn	Gwieździn					Gwieździn												Gwieździn		Gwieździn	Förstenau																		Gwieździn				Gwieździn		Gwieździn	Förstenau	Gwieździn 	Fersztnowo	Furstenowo														Gwieździn 																																			Gwieździn 	Förstenau	Gwiôzdzyn																																																				Gwieździn	Gwieździn	Gwieździn	
Iława		Deutsch-Eylau		Deutsch Eylau			Deutsch Eylau	Deutsch Eylau	Deutsch Eylau		Deutsch Eylau		Deutsch Eylau	Deutsch Eylau		Deutsch Eylau	Deutsch Eylau	Deutsch Eylau	Eylau	Deutsch Eylau	Deutsch Eylau					Deutsch Eylau	Dutsch Eylau	Deutsch Eylau	Deutsch Eylau					Deutsch Eylau	Deutsch Elau		Deutsch Eylau			Deutsch Eylau		Deutsch Eylau	Deutsch Eylau	Deutsch Eilau		Deutsch Eilau	Deutsch Eylau	Deutsch Eilau	Deutsch Eylau	Deutsch Eylau				Deutsch Eylau	Deutsch Eylau			Deutsch Eilau				Deutsch Eylau			Deutsch Eylau	Deutsch-Eylau	Ilawa												Deutsch Eylau		Deutsch Eylau	Deutsch Eylau	Deutsch Eylau	Deutsch Eylau	Iława	Deutsch-Eylau	Deutsch-Eylau		Deutsch Eylau		Deutsch Eylau	Deutsch Eylau	Deutsch-Eylau	Deutsch Eylau	Iława	Deutsch Eylau	Deutsch-Eylau	Deutsch-Eylau	Iława		Iława	Deutsch Eilau		Iława		Iława			Iława	Iława	Deutsch Eylau	Deutsch Eylau	Iława	Deutsch Eylau		Deutsch Eylau		Deutsch Eylau	Iława	Deutsch Eylau		Iława	Deutsch Eylau		Deutsch Eylau	Iława			Deutsch Eylau				Deutsch-Eylau		Deutsch Eylau	Deutsch Eylau	Deutsch Eylau		Iława	Deutsch Eylau	Iława		Deutsch Eylau			Iława	Iława	Iława	Iława	Deutsch Eylau	Iława	Deutsch Eylau		Iława	Iława	Iława	Iława	Iława	Iława	Iława	Deutsch Eylau	Iława		Iława	Iława	Iława	Iława			Iława	Iława		Iława										Iława		Iława		Iława	Deutsch Eylau						Iława	Deutsch-Eylau	Deutsch Eylau									Iława	Iława	Deutsch Eylau			Eylau		Iława	Deutsch Eylau	Iława	Ylavia	Ylaw	Ylau	Ilow theutonicalis	Deutschen Ylaw	Ilaw	Eylaw	Ilau	Deutze Eylau	Dwetsch Eylau	Theuto Ilavia	Deutsch Eilau				Iława	イワヴァ	Deutsch Eylau	Ilava	Ilawa	Iława	Ylava	Илава	Ілава	伊瓦瓦																										Iława	Deutsch Eylau	Īlawa																																																				Iława	Iława	Iława	Deutsch Eylau
Jasieniec		Jasieniec				Jassienietz	Jassienitz		Jasenitz					Jasenitz			Jasenitz				Jasenitz				Jasenitz				Jasenitz						Jasieniec									Jasenitz									Jasieniec							Jasenitz						Jasieniec																Jaschienitz		Jaschinnitz					Neu Jaschienitz					Jaschinnitz		Jaschinnitz		Jaschinnitz																				Jeżewnica							Jaschinnitz								Eschenbruch			Jaschinnitz	Jezewnica				Jasieniec		Neu Jaschinitz																												Jasieniec														Jasieniec		Jasieniec	Jaschinnitz																		Jasieniec				Jasieniec		Jasieniec	Jaschinnitz	Jasieniec 	Jaschinitz	Alt Jaschinitz	Alt Jaschinnitz	Stary Jasieniec 												Jasieniec 																																			Jasieniec 																																																						Jasieniec	Jasieniec	Jasieniec	
Kamień Krajeński		Kamien		Kamien		Camin	Cammin	Camin	Camin		Cammin	 	Camin	Camin		 	Camin	Cumin	Cammin	Cammin	Kamin	Cammin			Camin	Camin	Camin	Camin				Kamien	Camin	Cammin	Kamien		Kamin			Cammin		Kamin	Kamin	Kammin		Kumin	Cammin	Kamin	Kamin	Kammin		Kammin	Kamień	Cammin	Cammin			Kammin		Kamin		Cammin			Kammin	Kamień	Kamin	Camin	Camena	Camona	Camenum	Wavriszkovo	Wavriszcovicze						Kammin		Kamin	Camin	Kamin	Kamin	Kamien	Kamin	Kamin	Kamin	Kamin		Kamin	Kamin	Kamin	Kamin	Kamień	Kamin	Kamin	Kamin			Kamień	Kammin				Kamien			Kamień							Kamin		Kamień		Kamin		Kamień	Kamin		Kamień		Cammin						Steine		Kamin	Kamin	Kamin	Kamien	Kamień		Kamień		Kamin	Kamień		Kamień	Kamień	Kamień	Kamień		Kamień	Kamin		Kamień	Kamień	Kamień Kraiński	Kamień Krajeński		Kamień Krajeński	Kamień Krajeński	Kamin	Kamień Krajeński		Kamień Krajeński	Kamień	Kamień	Kamień	Kamień Krajenski	Kamień Krajeński	Kamień Krajeński	Kamień Krajeński		Kamień Krajeński	Kamień	Kamień Pomorski										Kamień Krajeński		Kamień Krajeński	Kamin						Kamień Krajeński	Kamień Pomorski	Kamin	Camin								Kamień Krajeński	Kamień Krajeński	Kamin			Kamień Krajeński		Kamień Krajeński	Kamin	Kamień Krajeński	Cammin	Vorwerk Cammin	Camin	Kammin												Kamień Krajeński	Kameņa Krajeņska	Kamień	Kamiéń	Камень-Краеньский	Камень-Краєнський	Камјењ Крајењски																													Kamień Krajeński	Kamień Pomorski	Kamin					Kamiéń Krôjińsczi	Lapis	Camenensis	Kazimirus 	Kamyn	Camen	Camień	Camyen	Camien	Camina	Camyn	Cammin	Kamin	Kamień	Kamień Pomorski	Kamjenj	Kamień Krajeński	Kamin 																														Kamień Krajeński	Kamień Krajeński	Kamień Krajeński	Kamin
Kartuzy						Carthaus	Carthaus	Carthaus	Carthaus		Carthaus	Carthaus		Carthaus			Carthaus	Carthaus								Carthaus			Carthaus			Kartuz		Carthaus						Karthaus			Karthaus	Karthaus		Carthaus	Karthaus	Carthaus	Carthaus	Karthaus			Kartuza	Carthaus	Carthaus			Carthaus		Karthaus		Carthaus			Carthaus	Kartuzy	Carthaus	Karthaus											Karthause		Karthaus	Carthaus	Karthaus	Karthaus	Kartuz	Karthaus	Karthaus	Carthaus	Carthaus		Karthaus	Karthaus	Karthaus	Karthaus	Kartuzy	Karthaus	Karthaus	Karthaus	Kartuzy	Kartuzy	Kartuzy	Karthaus		Kartuzy		Kartuzy	Kartuzy		Kartuzy	Kartuzy		Kartuzy		Karthaus		Karthaus		Kartuzy		Karthaus		Karthaus	Kartuzy		Karthaus		Kartuzy		Karthaus	Kartuzy	Kartuzy		Karthaus		Karthaus	Karthaus	Karthaus	Kartuzy	Kartuzy		Kartuzy		Karthaus	Kartuzy		Kartuzy	Kartuzy	Kartuzy	Kartuzy		Kartuzy	Karthaus		Kartuzy	Kartuzy	Kartuzy	Kartuzy	Kartuzy	Kartuzy	Kartuzy	Karthaus	Kartuzy		Kartuzy	Kartuzy	Kartuzy	Kartuzy		Kartuzy	Kartuzy	Kartuzy		Kartuzy			Kartuzy	Kartuze	Kartuzë	Kartëzë				Kartuzy	Kartuzë	Kartuzy		Kartuzy	Karthaus						Kartuzy	Karthaus										Kartuzy	Kartuzy	Karthaus	Kartuzë		Kartuzy		Kartuzy	Karthaus	Kartuzy 	Carthaus															Kartuzy 	Kartūzai	Kartuzë	Kartuzi	Картузи	Картузы	卡爾圖濟																													Kartuzy 	Kartuzë	Karthaus					Kartuzë	Kartëzë	Kartuzé	Kartuzy	Karthaus																																											Kartuzy	Kartuzy	Kartuzy	Karthaus
